8.0234,8.7848
8.0234,8.8047
8.0234,7.0668
8.0234,7.8907
-1.0615,-1.8917
-1.0615,-1.9161
-1.0615,-0.22336
-1.0615,-0.24143
-1.0615,-1.0392
-8.8102,-7.8386
-8.8102,-9.6641
-8.8102,-9.6744
-8.8102,-8.8827
5.3204,6.2563
5.3204,5.8266
2.7532,2.1922
2.7532,3.1906
2.7532,3.2347
2.7532,1.7607
-6.0308,-7.0259
-6.0308,-6.2987
-6.0308,-5.7246
-6.0308,-5.299
-6.0308,-6.6473
-6.0308,-5.0458
2.1305,1.8979
2.1305,1.1383
2.1305,2.9151
2.1305,1.4934
5.26,5.5093
5.26,6.1927
5.26,4.4336
5.26,6.2079
5.26,4.3593
5.26,5.4115
7.2858,6.5102
7.2858,6.3028
7.2858,7.0951
7.2858,7.4909
-0.34622,-0.97669
-0.34622,0.62609
-0.34622,0.23658
-0.34622,-1.3315
-0.34622,0.010399
-0.34622,-0.90401
2.1922,2.7532
2.1922,1.5085
2.1922,3.1906
2.1922,1.2672
2.1922,1.7607
2.1922,2.5063
5.5093,5.26
5.5093,6.5102
5.5093,6.2079
5.5093,6.3028
1.8979,2.1305
1.8979,1.1383
1.8979,2.6237
1.8979,0.8626
1.8979,1.6547
1.8979,2.9151
-8.667,-7.6792
-8.667,-8.2877
-8.667,-8.0231
-8.667,-9.396
-8.667,-9.0586
-6.9948,-6.0453
-4.2529,-4.1032
-4.2529,-4.4467
-4.2529,-5.299
-4.2529,-3.1976
-4.2529,-5.0458
-4.2529,-3.3518
6.5102,7.2858
6.5102,5.5093
6.5102,6.2079
6.5102,6.3028
6.5102,7.4909
-2.9232,-2.0208
-7.0259,-6.0308
-7.0259,-7.6792
-7.0259,-7.2671
-7.0259,-6.2987
-7.0259,-8.0231
-7.0259,-6.6473
-4.2485,-3.9664
-7.6792,-8.667
-7.6792,-7.0259
-7.6792,-7.2968
-7.6792,-8.2877
-7.6792,-8.0231
-7.6792,-6.6473
-4.1032,-4.2529
-4.1032,-3.1976
-4.1032,-5.0458
3.0765,2.9668
3.0765,2.3835
3.0765,3.8064
3.0765,2.1131
3.0765,3.8982
-9.5617,-9.4789
-9.5617,-8.5695
-7.2968,-7.6792
-7.2968,-8.2877
-7.2968,-7.8386
-7.2968,-6.3142
-7.2968,-6.6473
-7.2968,-6.8564
-4.9647,-4.6462
5.487,6.2124
5.487,5.4115
